dex_number,name,form,type1,type2
1,Bulbasaur,,Grass,Poison
2,Ivysaur,,Grass,Poison
3,Venusaur,,Grass,Poison
4,Charmander,,Fire,
5,Charmeleon,,Fire,
6,Charizard,,Fire,Flying
7,Squirtle,,Water,
8,Wartortle,,Water,
9,Blastoise,,Water,
10,Caterpie,,Bug,
11,Metapod,,Bug,
12,Butterfree,,Bug,Flying
13,Weedle,,Bug,Poison
14,Kakuna,,Bug,Poison
15,Beedrill,,Bug,Poison
16,Pidgey,,Normal,Flying
17,Pidgeotto,,Normal,Flying
18,Pidgeot,,Normal,Flying
19,Rattata,,Normal,
19,Rattata,Alolan,Dark,Normal
20,Raticate,,Normal,
20,Raticate,Alolan,Dark,Normal
23,Ekans,,Poison,
24,Arbok,,Poison,
27,Sandshrew,,Ground,
27,Sandshrew,Alolan,Ice,Steel
28,Sandslash,,Ground,
28,Sandslash,Alolan,Ice,Steel
29,Nidoran♀,,Poison,
30,Nidorina,,Poison,
31,Nidoqueen,,Poison,Ground
32,Nidoran♂,,Poison,
33,Nidorino,,Poison,
34,Nidoking,,Poison,Ground
37,Vulpix,,Fire,
37,Vulpix,Alolan,Ice,
38,Ninetales,,Fire,
38,Ninetales,Alolan,Ice,Fairy
41,Zubat,,Poison,Flying
42,Golbat,,Poison,Flying
43,Oddish,,Grass,Poison
44,Gloom,,Grass,Poison
45,Vileplume,,Grass,Poison
48,Venonat,,Bug,Poison
49,Venomoth,,Bug,Poison
50,Diglett,,Ground,
50,Diglett,Alolan,Ground,Steel
51,Dugtrio,,Ground,
51,Dugtrio,Alolan,Ground,Steel
52,Meowth,,Normal,
53,Persian,,Normal,
54,Psyduck,,Water,
55,Golduck,,Water,
56,Mankey,,Fighting,
57,Primeape,,Fighting,
58,Growlithe,,Fire,
59,Arcanine,,Fire,
60,Poliwag,,Water,
61,Poliwhirl,,Water,
62,Poliwrath,,Water,Fighting
63,Abra,,Psychic,
64,Kadabra,,Psychic,
65,Alakazam,,Psychic,
66,Machop,,Fighting,
67,Machoke,,Fighting,
68,Machamp,,Fighting,
69,Bellsprout,,Grass,Poison
70,Weepinbell,,Grass,Poison
71,Victreebel,,Grass,Poison
72,Tentacool,,Water,Poison
73,Tentacruel,,Water,Poison
74,Geodude,,Rock,Ground
74,Geodude,Alolan,Rock,Electric
75,Graveler,,Rock,Ground
75,Graveler,Alolan,Rock,Electric
76,Golem,,Rock,Ground
76,Golem,Alolan,Rock,Electric
77,Ponyta,,Fire,
78,Rapidash,,Fire,
79,Slowpoke,,Water,Psychic
80,Slowbro,,Water,Psychic
81,Magnemite,,Electric,Steel
82,Magneton,,Electric,Steel
86,Seel,,Water,
87,Dewgong,,Water,Ice
88,Grimer,,Poison,
88,Grimer,Alolan,Poison,Dark
89,Muk,,Poison,
89,Muk,Alolan,Poison,Dark
90,Shellder,,Water,
91,Cloyster,,Water,Ice
92,Gastly,,Ghost,Poison
93,Haunter,,Ghost,Poison
94,Gengar,,Ghost,Poison
95,Onix,,Rock,Ground
96,Drowzee,,Psychic,
97,Hypno,,Psychic,
98,Krabby,,Water,
99,Kingler,,Water,
100,Voltorb,,Electric,
101,Electrode,,Electric,
102,Exeggcute,,Grass,Psychic
103,Exeggutor,,Grass,Psychic
103,Exeggutor,Alolan,Grass,Dragon
104,Cubone,,Ground,
105,Marowak,,Ground,
105,Marowak,Alolan,Fire,Ghost
106,Hitmonlee,,Fighting,
107,Hitmonchan,,Fighting,
109,Koffing,,Poison,
110,Weezing,,Poison,
110,Weezing,Galarian,Poison,Fairy
111,Rhyhorn,,Ground,Rock
112,Rhydon,,Ground,Rock
114,Tangela,,Grass,
116,Horsea,,Water,
117,Seadra,,Water,
120,Staryu,,Water,
121,Starmie,,Water,Psychic
